package;class;method name;;;capabilities;;
sun.awt.windows;WMenuItemPeer;_dispose;void; ;GUI;;
sun.awt.windows;WMenuItemPeer;_setLabel;void;java.lang.String ;GUI;;
sun.awt.windows;WMenuItemPeer;create;void;sun.awt.windows.WMenuPeer ;GUI;;
sun.awt.windows;WMenuItemPeer;enable;void;boolean ;GUI;;
sun.awt.windows;WMenuItemPeer;initIDs;void; ;GUI;;
sun.awt.windows;WMenuPeer;addSeparator;void; ;GUI;;
sun.awt.windows;WMenuPeer;createMenu;void;sun.awt.windows.WMenuBarPeer ;GUI;;
sun.awt.windows;WMenuPeer;createSubMenu;void;sun.awt.windows.WMenuPeer ;GUI;;
sun.awt.windows;WMenuPeer;delItem;void;int ;GUI;;
sun.java2d.opengl;OGLTextRenderer;drawGlyphList;void;int,boolean,boolean,boolean,int,float,float,long[],float[] ;GUI;;
sun.nio.ch;Iocp;close0;void;long ;GUI;;
sun.nio.ch;Iocp;createIoCompletionPort;long;long,long,int,int ;GUI;;
com.sun.imageio.plugins.jpeg;JPEGImageWriter;abortWrite;void;long ;FS;;
com.sun.imageio.plugins.jpeg;JPEGImageWriter;disposeWriter;void;long ;FS;;
com.sun.imageio.plugins.jpeg;JPEGImageWriter;initJPEGImageWriter;long; ;FS;;
com.sun.imageio.plugins.jpeg;JPEGImageWriter;initWriterIDs;void;java.lang.Class,java.lang.Class ;NATIVE;;
com.sun.imageio.plugins.jpeg;JPEGImageWriter;resetWriter;void;long ;FS;;
com.sun.imageio.plugins.jpeg;JPEGImageWriter;setDest;void;long ;FS;;
com.sun.imageio.plugins.jpeg;JPEGImageWriter;writeImage;boolean;long,byte[],int,int,int,int[],int,int,int,int,int,javax.imageio.plugins.jpeg.JPEGQTable[],boolean,javax.imageio.plugins.jpeg.JPEGHuffmanTable[],javax.imageio.plugins.jpeg.JPEGHuffmanTable[],boolean,boolean,boolean,int,int[],int[],int[],int[],int[],boolean,int ;FS;;
com.sun.imageio.plugins.jpeg;JPEGImageWriter;writeTables;void;long,javax.imageio.plugins.jpeg.JPEGQTable[],javax.imageio.plugins.jpeg.JPEGHuffmanTable[],javax.imageio.plugins.jpeg.JPEGHuffmanTable[] ;FS;;
java.io;FileOutputStream;close0;void; ;FS;;
java.io;FileOutputStream;initIDs;void; ;NATIVE;;
java.io;FileOutputStream;open;void;java.lang.String,boolean ;FS;;
java.io;FileOutputStream;write;void;int,boolean ;FS;;
java.io;FileOutputStream;writeBytes;void;byte[],int,int,boolean ;FS;;
java.io;RandomAccessFile;setLength;void;long ;FS;;
java.io;RandomAccessFile;write0;void;int ;FS;;
java.io;RandomAccessFile;writeBytes0;void;byte[],int,int ;FS;;
java.io;Win32FileSystem;createDirectory;boolean;java.io.File ;FS;1;
java.io;Win32FileSystem;createFileExclusively;boolean;java.lang.String ;FS;1;
java.io;Win32FileSystem;delete0;boolean;java.io.File ;FS;1;
java.io;WinNTFileSystem;createDirectory;boolean;java.io.File ;FS;1;
java.io;WinNTFileSystem;createFileExclusively;boolean;java.lang.String ;FS;1;
java.io;WinNTFileSystem;delete0;boolean;java.io.File ;FS;1;
com.sun.imageio.plugins.jpeg;JPEGImageReader;abortRead;void;long ;FS;;
com.sun.imageio.plugins.jpeg;JPEGImageReader;disposeReader;void;long ;FS;;
com.sun.imageio.plugins.jpeg;JPEGImageReader;initJPEGImageReader;long; ;NATIVE;;
com.sun.imageio.plugins.jpeg;JPEGImageReader;initReaderIDs;void;java.lang.Class,java.lang.Class,java.lang.Class ;NATIVE;;
com.sun.imageio.plugins.jpeg;JPEGImageReader;readImage;boolean;long,byte[],int,int[],int[],int,int,int,int,int,int,javax.imageio.plugins.jpeg.JPEGQTable[],javax.imageio.plugins.jpeg.JPEGHuffmanTable[],javax.imageio.plugins.jpeg.JPEGHuffmanTable[],int,int,boolean ;FS;;
com.sun.imageio.plugins.jpeg;JPEGImageReader;readImageHeader;boolean;long,boolean,boolean ;FS;;
com.sun.imageio.plugins.jpeg;JPEGImageReader;resetLibraryState;void;long ;FS;;
com.sun.imageio.plugins.jpeg;JPEGImageReader;resetReader;void;long ;FS;;
com.sun.imageio.plugins.jpeg;JPEGImageReader;setOutColorSpace;void;long,int ;FS;;
com.sun.imageio.plugins.jpeg;JPEGImageReader;setSource;void;long ;FS;;
java.io;FileInputStream;available;int; ;FS;;
java.io;FileInputStream;close0;void; ;FS;;
java.io;FileInputStream;initIDs;void; ;NATIVE;;
java.io;FileInputStream;open;void;java.lang.String ;FS;;
java.io;FileInputStream;read0;int; ;FS;;
java.io;FileInputStream;readBytes;int;byte[],int,int ;FS;;
